0000271222;11;Ноутбук HP EliteBook 2560p;CNU22729RX;10031;1;В эксплуатации;1;Ноутбук;6;Отдел наличного денежного обращения и кассовых операций;НБ_Б402
0000271115;11;Ноутбук HP EliteBook 2560p;CNU22729SW;10032;1;В эксплуатации;1;Ноутбук;11;Экономический отдел;НБ_Б106
0000270939;11;Ноутбук HP EliteBook 2560p;CNU22729SY;10033;1;В эксплуатации;1;Ноутбук;3;Операционный отдел;НБ_Б402
0000272180;11;Ноутбук HP EliteBook 2560p;CNU22729TC;10034;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000271539;12;Ноутбук HP nc6320;CNU6391SGD;8409;3;Подготовка к выбытию;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000270713;13;Ноутбук HP ProBook 4520s;2CE03004XZ;9935;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б105
0000272359;13;Ноутбук HP ProBook 4520s;2CE0350B59;9936;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б402
0000272542;13;Ноутбук HP ProBook 4520s;2CE0350B5F;9937;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000270447;13;Ноутбук HP ProBook 4520s;2CE0350B5N;9938;1;В эксплуатации;1;Ноутбук;11;Экономический отдел;НБ_Б106
0000272021;14;Ноутбук HP ProBook 4535s;нет данных;29066655;2;Хранение исправного;1;Ноутбук;3;Операционный отдел;НБ_В310
0000272190;15;Ноутбук HP6930р;CZC945412X;9799;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272051;15;Ноутбук HP6930р;CZC9454GNW;9794;1;В эксплуатации;1;Ноутбук;3;Операционный отдел;НБ_Б402
0000272423;15;Ноутбук HP6930р;CZC9454GNY;9795;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000270383;15;Ноутбук HP6930р;CZC9454GNZ;9796;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000271179;15;Ноутбук HP6930р;CZC9462ZW1;9798;2;Хранение исправного;1;Ноутбук;6;Отдел наличного денежного обращения и кассовых операций;НБ_Б106
0000272958;16;Ноутбук RAYbook Si1510;23061095394;91214032732346205;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272943;16;Ноутбук RAYbook Si1510;23091145756;91214032732346190;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000271975;17;Ноутбук ThinkPad SL510;LR-PCTZW;29064631;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000270392;17;Ноутбук ThinkPad SL510;LR-PCVBL;29064732;2;Хранение исправного;1;Ноутбук;4;Отдел безопасности;НБ_Б417
0000270518;17;Ноутбук ThinkPad SL510;LR-PCWNA;29064733;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000271003;17;Ноутбук ThinkPad SL510;нет данных;29064730;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272230;17;Ноутбук ThinkPad SL510;нет данных;29064736;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272250;17;Ноутбук ThinkPad SL510;нет данных;29064734;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000270756;18;Ноутбук Toshiba Satellite Pro A300;78146361Q;9667;3;Подготовка к выбытию;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000271802;18;Ноутбук Toshiba Satellite Pro A300;78146387Q;9668;3;Подготовка к выбытию;1;Ноутбук;5;Отдел информатизации;НБ_Б322
0000272344;18;Ноутбук Toshiba Satellite Pro A300;78147074Q;9671;3;Подготовка к выбытию;1;Ноутбук;5;Отдел информатизации;НБ_Г305
0000272944;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061094634;91214032732346191;1;В эксплуатации;1;Ноутбук;8;Руководство;НБ_Б106
0000272946;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061094663;91214032732346193;1;В эксплуатации;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272945;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061094667;91214032732346192;2;Хранение исправного;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272952;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095093;91214032732346199;1;В эксплуатации;1;Ноутбук;5;Отдел информатизации;НБ_Б320
0000272951;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095242;91214032732346198;1;В эксплуатации;1;Ноутбук;5;Отдел информатизации;НБ_Б320
0000272957;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095298;91214032732346204;1;В эксплуатации;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272953;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095373;91214032732346200;1;В эксплуатации;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272956;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095379;91214032732346203;1;В эксплуатации;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272947;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095423;91214032732346194;1;В эксплуатации;1;Ноутбук;8;Руководство;НБ_Б106
0000272954;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095446;91214032732346201;1;В эксплуатации;1;Ноутбук;8;Руководство;НБ_Б106
0000272955;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095488;91214032732346202;1;В эксплуатации;1;Ноутбук;11;Экономический отдел;НБ_Б106
0000272948;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095489;91214032732346195;1;В эксплуатации;1;Ноутбук;4;Отдел безопасности;НБ_Б106
0000272950;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095509;91214032732346197;1;В эксплуатации;1;Ноутбук;5;Отдел информатизации;НБ_Б106
0000272949;19;Ноутбук категории облегченная  рабочая станция RAYbook Si1510;23061095564;91214032732346196;1;В эксплуатации;1;Ноутбук;7;Отдел управления недвижимостью и эксплуатации;НБ_Б106
0000272288;20;Офисный ПК Kraftway credo KC43;11509926;29071385;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Г307
0000272229;20;Офисный ПК Kraftway credo KC43;11509927;29071386;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б324
0000271775;20;Офисный ПК Kraftway credo KC43;11509929;29071387;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_А215
0000271596;20;Офисный ПК Kraftway credo KC43;11509930;29071388;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000271398;20;Офисный ПК Kraftway credo KC43;11509931;29071389;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000270433;20;Офисный ПК Kraftway credo KC43;11510338;29071390;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000272138;20;Офисный ПК Kraftway credo KC43;11510339;29071391;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000272515;20;Офисный ПК Kraftway credo KC43;11510340;29071392;2;Хранение исправного;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000270533;20;Офисный ПК Kraftway credo KC43;11510341;29071393;1;В эксплуатации;2;Персональный компьютер;3;Операционный отдел;НБ_Б106
0000272164;20;Офисный ПК Kraftway credo KC43;11510342;29071394;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000271139;20;Офисный ПК Kraftway credo KC43;11510343;29071395;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000271434;20;Офисный ПК Kraftway credo KC43;11510344;29071396;1;В эксплуатации;2;Персональный компьютер;5;Отдел информатизации;НБ_Б106
0000270896;20;Офисный ПК Kraftway credo KC43;11510345;29071397;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_Б106
0000270440;20;Офисный ПК Kraftway credo KC43;11510346;29071398;1;В эксплуатации;2;Персональный компьютер;4;Отдел безопасности;НБ_В108
